"VP" "Bed" "R1_MP_P1" "R1_MT_P1" "R1_AC_P1" "R1_DA_P1" "R2_MP_P1" "R2_MT_P1" "R2_AC_P1" "R2_DA_P1" "age" "sex" "language" "fach" "date" "time" "C1_R" "C1_MP_1" "C1_MT_1" "C1_AC_1" "C1_DA_1" "C1_MP_1_rt" "C1_MT_1_rt" "C1_AC_1_rt" "C1_DA_1_rt" "C2_R" "C2_MP_1" "C2_MT_1" "C2_AC_1" "C2_DA_1" "C2_MP_1_rt" "C2_MT_1_rt" "C2_AC_1_rt" "C2_DA_1_rt" "C3_R" "C3_MP_1" "C3_MT_1" "C3_AC_1" "C3_DA_1" "C3_MP_1_rt" "C3_MT_1_rt" "C3_AC_1_rt" "C3_DA_1_rt" "C4_R" "C4_MP_1" "C4_MT_1" "C4_AC_1" "C4_DA_1" "C4_MP_1_rt" "C4_MT_1_rt" "C4_AC_1_rt" "C4_DA_1_rt"
8 2 99.5 89.5 98 98.5 74 73.5 99 99 21 1 1 "FRANZ7GSISCHG" "09/03/09" "10:47:09" 1 99 100 97 99 4840 17128 5552 7240 2 99 98 99 99 5536 9592 6240 16496 2 49 49 99 99 15209 42209 9096 11856 1 100 79 99 98 7112 8800 6856 6360
9 1 99 24 15 74.5 99 49.5 99 99.5 24 2 1 "SOZIALEAARBEI" "09/10/09" "10:40:06" 2 99 99 99 99 8959 10432 7183 9312 1 99 0 30 99 15200 10361 16563 12448 2 99 0 99 100 16856 17305 7857 15616 1 99 48 0 50 7496 13585 17897 11368
10 2 99 99 49.5 75 81.5 55 84.5 91 25 1 1 "LEHRAMT" "09/11/09" "11:22:23" 2 94 60 70 100 11152 25031 39200 7496 1 98 99 49 100 6609 29592 28841 23816 2 69 50 99 82 6584 12081 15729 9288 1 100 99 50 50 16984 7632 6080 7088
12 1 99.5 99.5 99.5 100 99.5 100 99.5 99.5 30 2 1 "PRRODUKTENTWI" "09/14/09" "10:27:01" 2 100 100 100 100 11009 15865 17280 9384 2 99 100 99 99 8816 8456 13817 12096 1 100 100 99 100 13225 5201 5888 7248 1 99 99 100 100 19808 10120 6448 14887
13 1 99 49.5 74 25 65 74.5 99.5 74 31 2 1 "GESCHICHTE" "09/15/09" "14:27:14" 1 99 49 49 50 7872 9864 8032 8689 1 99 50 99 0 7497 7737 7385 14520 2 30 49 100 49 11416 9425 6439 20080 2 100 100 99 99 8591 15384 24905 175071
15 1 99.5 100 0 0 100 49.5 0 0 24 2 1 "GERMANISTIK" "09/29/09" "10:56:43" 2 100 99 0 0 8456 26665 80858 25728 1 100 100 0 0 4904 9192 12185 16017 2 100 0 0 0 23217 8624 30937 33816 1 99 100 0 0 7080 8656 11689 23825
16 2 95 64.5 84 64.5 84.5 49 89.5 85 19 2 1 "BWL" "09/29/09" "12:25:42" 2 79 69 89 80 10729 13687 7745 9433 1 100 99 99 99 13840 21088 11017 31696 1 90 30 69 30 19384 11064 7689 9872 2 90 29 90 90 10056 12944 4744 7192
17 2 97.5 98 14.5 77 39.5 37.5 96.5 98 20 1 1 "PHARMAZIE" "09/29/09" "16:11:06" 1 96 97 20 55 12872 10255 18864 68058 1 99 99 9 99 23160 10369 11729 27336 2 19 65 96 97 32186 34984 10928 13617 2 60 10 97 99 30929 31097 35073 10576
18 1 99.5 99.5 49.5 99.5 99 99.5 50 99.5 18 1 1 "SCHUELERIN" "09/30/09" "15:03:21" 1 100 99 49 99 7601 9481 6872 36089 2 99 99 50 99 7679 5745 17904 8737 2 99 100 50 100 20072 39049 34856 15849 1 99 100 50 100 5128 14609 36249 6736
19 1 100 100 99 99.5 99.5 99.5 100 99 24 1 1 "LEHRAMT" "09/30/09" "15:54:11" 1 100 100 99 99 12032 21816 9560 10040 2 99 99 100 99 6111 8360 19521 14033 2 100 100 100 99 15153 13696 11320 14768 1 100 100 99 100 6960 9800 20417 13456
20 1 99 99.5 99 99 99 99 99.5 99.5 20 1 1 "THEOLOGIE" "10/01/09" "15:28:01" 1 99 99 99 99 5889 5040 5904 10168 2 99 99 99 100 5632 5944 8880 7752 2 99 99 100 99 12575 23553 8151 14345 1 99 100 99 99 6064 4352 4136 7360
21 2 92 94 91.5 94 91.5 89 99.5 92 26 1 1 "POLITIKSPANI" "10/02/09" "15:32:58" 1 94 98 94 99 7296 18313 6121 14433 2 94 99 99 95 11457 23960 8280 12512 2 89 79 100 89 8480 29257 5329 11912 1 90 90 89 89 4177 7041 4896 15104
22 2 98.5 98 15 95 6 82 99.5 99.5 22 2 1 "GEOWISSENSCH" "10/02/09" "16:07:46" 1 97 97 20 97 6432 28808 14633 12449 2 10 90 99 99 25353 26280 10639 13385 2 2 74 100 100 12072 40081 8504 31993 1 100 99 10 93 8233 13208 11872 30121
23 1 99.5 100 99.5 99.5 99.5 99.5 99.5 100 23 1 1 "SOZIALEARBEI" "10/08/09" "12:14:33" 2 99 100 99 100 10624 17200 13560 16873 1 100 100 100 99 10201 10217 10120 19960 2 100 99 100 100 8888 15080 7937 31857 1 99 100 99 100 8409 11216 9536 18416
24 2 99 95.5 94 83.5 89.5 79.5 84 77 22 1 1 "HEILPAEDAGOG" "10/09/09" "11:18:16" 2 80 78 69 84 11248 24233 11919 22192 1 99 100 99 89 7009 16240 7456 23425 2 99 81 99 70 7464 28177 7689 13472 1 99 91 89 78 7449 11697 21072 11248
25 2 94.5 94 79 74 24.5 64 89.5 84.5 23 1 1 "THEOLOGIE" "10/09/09" "14:17:22" 1 94 94 79 69 5456 27481 23217 17328 2 9 89 99 100 7688 25161 5600 46329 2 40 39 80 69 26353 35897 10184 12600 1 95 94 79 79 8976 9545 8664 6872
26 2 99 79 54 24.5 24 51.5 100 99.5 23 1 1 "LEHRAMTLGYESC" "10/09/09" "14:38:20" 1 99 59 69 0 18145 46440 19656 43057 2 19 49 100 100 30401 41144 7544 16280 2 29 54 100 99 16368 28336 10528 66930 1 99 99 39 49 9457 13705 27185 16112
27 1 99.5 0 0 99.5 99.5 0 0 99.5 24 1 1 "LEHRAMT" "10/09/09" "14:52:40" 1 99 0 0 100 8296 9921 8192 7760 2 100 0 0 99 9031 9895 9233 39152 1 100 0 0 99 9304 9136 14376 12320 2 99 0 0 100 9847 7784 7112 28112
28 2 69 72 52 76.5 54.5 65 89 80 24 1 1 "ETNHNOOLOGIE" "10/12/09" "11:05:53" 2 59 90 79 80 31241 18240 20840 25545 2 50 40 99 80 12321 24688 21745 43257 1 69 55 54 55 15528 15631 26121 16425 1 69 89 50 98 16129 30432 47696 27969
29 1 99.5 99.5 74.5 74.5 57 92 99.5 99.5 24 1 1 "HEILPDAGOGIK" "10/12/09" "12:43:02" 2 75 89 100 100 8760 8408 12368 5985 1 100 99 100 99 7201 16777 9432 11288 1 99 100 49 50 9536 20145 9105 8664 2 39 95 99 99 18449 21512 4264 20129
30 2 99 99 89.5 89.5 59 89.5 89.5 99 22 1 1 "HEILPDAGOGIK" "10/12/09" "12:45:14" 1 99 99 99 99 13937 21288 6000 19816 2 19 99 99 99 42617 21969 6440 19048 1 99 99 80 80 9936 10136 16136 10296 2 99 80 80 99 6048 13625 8616 27081
31 2 99 99.5 40 76.5 12 87 89 99 20 1 1 "HEILPDAGOGIK" "10/12/09" "12:48:52" 1 99 99 45 79 11584 14416 14648 42193 2 0 85 99 99 12001 29921 12953 8809 1 99 100 35 74 12047 12896 14967 31369 2 24 89 79 99 30073 25352 12625 26656
32 1 100 99.5 100 100 100 99.5 99.5 99.5 21 1 1 "HEILP" "10/12/09" "13:02:47" 2 100 100 99 99 12160 7256 19424 8905 1 100 100 100 100 8040 20681 11560 7624 1 100 99 100 100 24982 16592 8151 30464 2 100 99 100 100 7960 6976 16528 42912
33 2 99.5 99 99.5 92 99 99.5 99.5 99 25 1 1 "VWL" "10/13/09" "14:29:39" 2 99 99 100 99 8591 9872 11905 13032 2 99 100 99 99 7303 8512 6208 11032 1 99 99 99 95 6303 15231 9512 13288 1 100 99 100 89 9760 17393 9935 11313
34 1 99.5 80 92.5 100 99.5 79.5 90 99.5 22 1 1 "SKANDINAVIST" "10/14/09" "11:10:25" 1 99 80 85 100 9935 14425 27345 7208 2 100 79 100 100 4920 5511 7183 16713 1 100 80 100 100 8153 9496 11952 6864 2 99 80 80 99 7008 6736 5256 20041
35 1 100 97.5 94.5 99.5 99.5 95 80 92 22 1 1 "SKANDINAVIST" "10/14/09" "11:15:37" 1 100 100 90 100 26296 15265 16048 30561 1 100 95 99 99 8048 15360 9120 22712 2 100 95 70 85 16081 51961 50960 63010 2 99 95 90 99 18217 21313 19360 37400
36 2 99 99 59.5 97.5 49.5 56.5 91.5 70.5 20 1 1 "GRUNDSCHULLE" "10/14/09" "11:07:53" 1 98 99 95 97 12048 18496 15128 13063 1 100 99 24 98 15064 11640 8568 12272 2 39 19 85 47 5576 14345 9617 8616 2 60 94 98 94 26761 17285 9368 20711
37 1 99 49.5 0 99 99 0 0 99.5 24 2 1 "PHARMAZIE" "10/14/09" "12:02:13" 1 99 99 0 99 24760 24385 12800 12048 2 99 0 0 99 8248 5736 23073 10935 1 99 0 0 99 4368 6849 12176 7880 2 99 0 0 100 30616 40049 8280 7112
